%%% GEARHEAD I18N TEXT MESSAGES %%%

% gharena.pas
GHARENA.PAS_START_RPG_CAMPAIGN    <Start RPG Campaign>
TIMESTRING                      <#2:#3:#4, day #1>
%
% conmap.pp, sdlmap.pp ProcessMovement()
ProcessMovement_Left  <# has left this area.>
%
% conmap.pp, sdlmap.pp ProcessMovement()
%	#1 : GearName()
%	#2 : DAMAGE_DamageDone
ProcessMovement_Crash <#1 has crashed! #2 damage.>
ProcessMovement_Fall  <#1 has fallen! #2 damage.>

% context.pp, sdlgfx.pp EndOfGameMoreKey()
EndOfGameMoreKey_Hit_space_bar  <[Hit space bar.]>
%
% sdlgfx.pp, MoreText()
MoreText_Prompt <  [UP] to go up, [DOWN] to go down, [ESC] to exit>

%%% [ End of File ] %%%
